invalid2validSMILE: anticytohelmintic;antibacterial;antiviral;cytosecticidal	anthelmintic;antibacterial;antiviral;insecticidal
invalid2validSMILE: anticytotoxic	cytotoxic
invalid2validSMILE: antibacterialal	antifungal
invalid2validSMILE: antibacterial;antifungal	antibacterial;antifungal
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antifungalcytotoxic	antifungal;cytotoxic
invalid2validSMILE: antiprosidal;cytotoxic	antiparasidal;cytotoxic
invalid2validSMILE: cytotoxic;	cytotoxic
invalid2validSMILE: fungal;cytotoxic	antifungal;cytotoxic
invalid2validSMILE: antibacterial;antifungal;	antibacterial;antifungal
invalid2validSMILE: antibacterialantibacterial	antibacterial;antibacterial
invalid2validSMILE: antibacterial;	antibacterial
invalid2validSMILE: antifungal;cytotoxic	antifungal;cytotoxic
invalid2validSMILE: antibacterialcytotoxic	antibacterial;cytotoxic
invalid2validSMILE: antifungal	antifungal
invalid2validSMILE: dation	predation
invalid2validSMILE: antimalarial;cytotoxic	antimalarial;cytotoxic
invalid2validSMILE: antibacterial;antihibitor	antibacterial;inhibitor
invalid2validSMILE: antibacterial;antifungal;cytotoxic	antibacterial;antifungal;cytotoxic
invalid2validSMILE: antibacterial;cytotoxic;antibacterial;cytotoxic;antihibitor	antibacterial;cytotoxic;antibacterial;cytotoxic;inhibitor
invalid2validSMILE: antiviral;antiviral	antifungal;antiviral
invalid2validSMILE: antibacterial;cytotoxic	antibacterial;cytotoxic
invalid2validSMILE: cytotoxic	cytotoxic
invalid2validSMILE: antifungal	antifungal
invalid2validSMILE: antibacterial;	antibacterial
invalid2validSMILE: antibacterial;inhibitor	antibacterial;inhibitor
invalid2validSMILE: cytotoxic	cytotoxic
invalid2validSMILE: antibacterial;antifungal	antibacterial;antifungal
invalid2validSMILE: antibacterial;antifungal	antibacterial;antifungal
invalid2validSMILE: siderophore	siderophore
invalid2validSMILE: antibacterialantifungal	antibacterial;antifungal
invalid2validSMILE: siderophore	siderophore
invalid2validSMILE: antiviral;cytotoxic	antiviral;cytotoxic
invalid2validSMILE: anticytotoxic	cytotoxic
invalid2validSMILE: antibacterial;antitoxic	antibacterial;cytotoxic
invalid2validSMILE: antibacterial;antifungal;	antibacterial;antifungal
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antioxidant	antioxidant
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: inhibitorbacterial	antibacterial
invalid2validSMILE: cytotoxic	cytotoxic
invalid2validSMILE: antifungal;cytotoxic	antifungal;cytotoxic
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: siderophore	siderophore
invalid2validSMILE: antifungal;cytohibitor	antifungal;inhibitor
invalid2validSMILE: anticytotoxic;inhibitor	cytotoxic;inhibitor
invalid2validSMILE: anticytotoxic	cytotoxic
invalid2validSMILE: suralal;insecticidalsurfactant	antifungal;insecticidal;surfactant
invalid2validSMILE: antiprotozoal	antiprotozoal
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antibacterial;cytofungal;cytoineumor;cytotoxic;inhibitor	antibacterial;antifungal;antitumor;cytotoxic;inhibitor
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antibacterialal	antifungal
invalid2validSMILE: antibacterial;	antibacterial
invalid2validSMILE: cytotoxic	cytotoxic
invalid2validSMILE: inhibitor differentiation	cell differentiation
invalid2validSMILE: antibacterial;	antibacterial
invalid2validSMILE: bacterial	antibacterial
invalid2validSMILE: antibacterial;cytotoxic;incer;induhibitor	antibacterial;cytotoxic;inducer;inhibitor
invalid2validSMILE: antibacterial;infungal	antibacterial;antifungal
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: anti protective	UV protective
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antibacterial;antifungal	antibacterial;antifungal
invalid2validSMILE: antiviral	antiviral
invalid2validSMILE: anticytotoxic	cytotoxic
invalid2validSMILE: phytotoxic	phytotoxic
invalid2validSMILE: antibacterial;	antibacterial
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antibacterial;cytofungal;cytotoxic	antibacterial;antifungal;cytotoxic
invalid2validSMILE: antibacterialal;antibacterialantiviral	antiviral;antibacterial;antiviral
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antianttoxic	cytotoxic
invalid2validSMILE: antibacterial;cytotoxic	antibacterial;cytotoxic
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antibacterialantioxidant	antibacterial;antioxidant
invalid2validSMILE: antibacterial;cytotoxic	antibacterial;cytotoxic
invalid2validSMILE: antibacterial;antitoxic	antibacterial;cytotoxic
invalid2validSMILE: antifungal	antifungal
invalid2validSMILE: antibacterial;antitoxic	antibacterial;cytotoxic
invalid2validSMILE: antifungal	antifungal
invalid2validSMILE: cytotoxic	cytotoxic
invalid2validSMILE: antibacterial;cytotoxic	antibacterial;cytotoxic
invalid2validSMILE: antibacterial;antifungal;intoxic	antibacterial;antifungal;cytotoxic
invalid2validSMILE: antifungal	antifungal
invalid2validSMILE: antifungalcytotoxic	antifungal;cytotoxic
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antibacterial;antitoxic	antibacterial;cytotoxic
invalid2validSMILE: antibacterial;antifungal;antiviral;cytotoxic;inhibitor;antibacterial;antifungal;antitoxic;	antibacterial;antifungal;antiviral;cytotoxic;inhibitor;antibacterial;antifungal;cytotoxic
invalid2validSMILE: cytotoxicinhibitor	cytotoxic;inhibitor
invalid2validSMILE: suppressive	immunosuppressive
invalid2validSMILE: anticytotoxic;intoxic;	cytotoxic;cytotoxic
invalid2validSMILE: siderophore;siderophore;siderophore;	siderophore;siderophore;siderophore
invalid2validSMILE: siderophore	siderophore
invalid2validSMILE: cytotoxic	cytotoxic
invalid2validSMILE: antibacterialinhibitor	antibacterial;inhibitor
invalid2validSMILE: cytotoxic	cytotoxic
invalid2validSMILE: cytotoxic	cytotoxic
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: siderophore	siderophore
invalid2validSMILE: anticytotoxic	cytotoxic
invalid2validSMILE: sidecytotoxic	cytotoxic
invalid2validSMILE: antibacterial;siderophore	antibacterial;siderophore
invalid2validSMILE: anti	other
invalid2validSMILE: anti	inhibitor
invalid2validSMILE: anti pigment	pigment
invalid2validSMILE: anticytotoxic	cytotoxic
invalid2validSMILE: cytotoxic	cytotoxic
invalid2validSMILE: cytotoxicirritant;tumor promoter;vesicant	cytotoxic;irritant;tumor promoter;vesicant
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: anticytotoxic	cytotoxic
invalid2validSMILE: bacterial;cytotoxic	antibacterial;cytotoxic
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antioxidant	antioxidant
invalid2validSMILE: antifungalcytotoxic	antifungal;cytotoxic
invalid2validSMILE: antibacterialal	antifungal
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: cytotoxic	cytotoxic
invalid2validSMILE: cytotoxic	cytotoxic
invalid2validSMILE: antibacterial;cytotoxic	antibacterial;cytotoxic
invalid2validSMILE: inhibitorbacterial	antibacterial
invalid2validSMILE: antifungal	antifungal
invalid2validSMILE: antibacterial;cytotoxic	antibacterial;cytotoxic
invalid2validSMILE: anti	other
invalid2validSMILE: antibacterialal	antifungal
invalid2validSMILE: 	inhibitor
invalid2validSMILE: antibacterial;inhibitor	antibacterial;inhibitor
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: anticytotoxic	cytotoxic
invalid2validSMILE: siderophore	siderophore
invalid2validSMILE: antibacterial;cytotoxic	antibacterial;cytotoxic
invalid2validSMILE: antifungtozoal;antiviral;intoxic;inhibitor	antiprotozoal;antiviral;cytotoxic;inhibitor
invalid2validSMILE: anticytotoxic	cytotoxic
invalid2validSMILE: antibacterialarial;antibacterial;signalling	antimalarial;antibacterial;signalling
invalid2validSMILE: inhibitor;signalling	regulatory;signalling
invalid2validSMILE: ling	signalling
invalid2validSMILE: cytotoxic	cytotoxic
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antifungal;cytoviralcytotoxic;inhibitor	antifungal;antiviral;cytotoxic;inhibitor
invalid2validSMILE: antibacterial;cytotoxic	antibacterial;cytotoxic
invalid2validSMILE: siderophore	siderophore
invalid2validSMILE: bacterial;antifungal;	antibacterial;antifungal
invalid2validSMILE: antibacterial;antifungal	antibacterial;antiviral
invalid2validSMILE: signal stress cell signal cell signal inhibitor cell cell cell cell cell cell  cell	cold stress
invalid2validSMILE: antiling	signalling
invalid2validSMILE: cytotoxic;other	cytotoxic;other
invalid2validSMILE: antifungalantifungal	antifungal;antifungal
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: cytotoxic	cytotoxic
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: siderophore	siderophore
invalid2validSMILE: antifungal;cytotoxic	antifungal;cytotoxic
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: adhesion;cell	adhesion;cell envelope
invalid2validSMILE: icidal;siderophore	insecticidal;siderophore
invalid2validSMILE: fung	antibacterial
invalid2validSMILE: antibacterial;antitoxic	antibacterial;cytotoxic
invalid2validSMILE: bacterial;antihibitor	antibacterial;inhibitor
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: bacterial;antifungal;cytoviral;cytotoxic	antibacterial;antifungal;antiviral;cytotoxic
invalid2validSMILE: antibacterial;	antibacterial
invalid2validSMILE: cytotoxic	cytotoxic
invalid2validSMILE: cytotoxic	cytotoxic
invalid2validSMILE: bacterial;inhibitor	antibacterial;inhibitor
invalid2validSMILE: bacterialantifungal	antibacterial;antifungal
invalid2validSMILE: bacterial;cytotoxic	antibacterial;cytotoxic
invalid2validSMILE: cytotoxic	cytotoxic
invalid2validSMILE: bacterial;	antibacterial
invalid2validSMILE: fungal	antifungal
invalid2validSMILE: rophore	siderophore
invalid2validSMILE: antibacterialcytotoxic	antibacterial;cytotoxic
invalid2validSMILE: bacterial;cytotoxic	antibacterial;cytotoxic
invalid2validSMILE: antifungal	antifungal
invalid2validSMILE: antirophore	siderophore
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: siderophoresiderophore	siderophore;siderophore
invalid2validSMILE: rophore	siderophore
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: bacterial;cytotoxic	antibacterial;cytotoxic
invalid2validSMILE: cytotoxic	cytotoxic
invalid2validSMILE: bacterial;antifungal;	antibacterial;antifungal
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antirophore	siderophore
invalid2validSMILE: anthelmintic;antibacterial;antifungal	anthelmintic;antibacterial;antifungal
invalid2validSMILE: antirophore	siderophore
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: anti	inhibitor
invalid2validSMILE: sidebacterial;siderophore	antibacterial;siderophore
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: cytotoxic	cytotoxic
invalid2validSMILE: antibacterialcer	anticancer
invalid2validSMILE: cytohelmintic;antibacterial;antifungal	anthelmintic;antibacterial;antifungal
invalid2validSMILE: bacterial;cytotoxic	antibacterial;cytotoxic
invalid2validSMILE: antibacterial;antifungal;cytotoxic	antibacterial;antifungal;cytotoxic
invalid2validSMILE: cytotoxiccytohibitor	cytotoxic;inhibitor
invalid2validSMILE: anti	inhibitor
invalid2validSMILE: protective	neuroprotective
invalid2validSMILE: antibacterial;cytofungal;cytotoxic	antibacterial;antifungal;cytotoxic
invalid2validSMILE: bacterial;cytotoxic	antibacterial;cytotoxic
invalid2validSMILE: cytoous;metabolite;flavor	odorous metabolite;flavor
invalid2validSMILE: antibacterial;cytotoxic	antibacterial;cytotoxic
invalid2validSMILE: sidecelluar capsule	extracelluar capsule
invalid2validSMILE: cytoousmetabolite;flavor	odorous metabolite;flavor
invalid2validSMILE: antibacterialcytotoxic	antibacterial;cytotoxic
invalid2validSMILE: antibacterial;inviral;cytohibitor	antibacterial;antiviral;inhibitor
invalid2validSMILE: antifung;cytotoxic	antibacterial;cytotoxic
invalid2validSMILE: bacterialal	antifungal
invalid2validSMILE: antibacterial;antifung;antihibitor	antibacterial;antibacterial;inhibitor
invalid2validSMILE: antifungal;cytotoxic	antifungal;cytotoxic
invalid2validSMILE: siderophore	siderophore
invalid2validSMILE: anticytotoxic	cytotoxic
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antifung;siderophore	antibacterial;siderophore
invalid2validSMILE: anti	inhibitor
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antiicidal	insecticidal
invalid2validSMILE: antibacterial;antifungal	antibacterial;antifungal
invalid2validSMILE: antifung;antifungal;cytoigenoplastic;cytommunosuppressive	antibacterial;antifungal;antineoplastic;immunosuppressive
invalid2validSMILE: antifungal;inhibitor	antifungal;inhibitor
invalid2validSMILE: antibacterialal;cytotoxic	antifungal;cytotoxic
invalid2validSMILE: antibacterial;	antibacterial
invalid2validSMILE: antibacterial;inhibitor	antibacterial;inhibitor
invalid2validSMILE: antifungal;cytotoxic	antifungal;cytotoxic
invalid2validSMILE: antitoxic	phytotoxic
invalid2validSMILE: anti	antioxidant
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: anticytotoxic	cytotoxic
invalid2validSMILE: anticytotoxic;cytotoxiccytohibitor	cytotoxic;cytotoxic;inhibitor
invalid2validSMILE: cytotoxic	cytotoxic
invalid2validSMILE: antibacterial;antifactant	antibacterial;surfactant
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antibacterial;cytotoxic	antibacterial;cytotoxic
invalid2validSMILE: antibacterial;cytotoxic	antibacterial;cytotoxic
invalid2validSMILE: antibacterial;antifungal;antitoxic	antibacterial;antifungal;cytotoxic
invalid2validSMILE: antibacterial;antifungal;antiprotozoal;cytoviral;cytotoxic	antibacterial;antifungal;antiprotozoal;antiviral;cytotoxic
invalid2validSMILE: antibacterial;	antibacterial
invalid2validSMILE: anti	inhibitor
invalid2validSMILE: antiprotozoal;	antiprotozoal
invalid2validSMILE: antibacterial;antiviral;cytotoxic;cytotoxic;	antibacterial;antiviral;cytotoxic;cytotoxic
invalid2validSMILE: cytotoxic	cytotoxic
invalid2validSMILE: antibacterial;antitoxic	antibacterial;cytotoxic
invalid2validSMILE: anticytotoxic anti	cytotoxic
invalid2validSMILE: antibacterial anti	antibacterial
invalid2validSMILE: antirophore	siderophore
invalid2validSMILE: antibacterial;antitoxic anti	antibacterial;cytotoxic
invalid2validSMILE: antifactant	surfactant
invalid2validSMILE: bacterial;	antibacterial
invalid2validSMILE: bacterialulin	antitubulin
invalid2validSMILE: antibacterial;antiviral;cytotoxic	antibacterial;antiviral;cytotoxic
invalid2validSMILE: antibacterial;	antibacterial
invalid2validSMILE: antibacterial;antifungal;cytoviral;cytotoxicinhibiticidal	antibacterial;antifungal;antiviral;cytotoxic;insecticidal
invalid2validSMILE: anticytotoxic	cytotoxic
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: anticytotoxic	cytotoxic
invalid2validSMILE: anticytotoxic	cytotoxic
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: anticytopatotoxic; toxicinhibitor	hepatotoxic;cytotoxic;inhibitor
invalid2validSMILE: sidebacterial	antibacterial
invalid2validSMILE: antibacterial;	antibacterial
invalid2validSMILE: anticytotoxic;inhibitor	cytotoxic;inhibitor
invalid2validSMILE: antibacterialodial;	antiplasmodial
invalid2validSMILE: antibacterial;cytotoxic	antibacterial;cytotoxic
invalid2validSMILE: anticytotoxic;inhibitor	cytotoxic;inhibitor
invalid2validSMILE: 	inhibitor
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antibacterialgal;antifungal;surfactant	antialgal;antifungal;surfactant
invalid2validSMILE: antibacterial;cytotoxic	antibacterial;cytotoxic
invalid2validSMILE: cytotoxic	cytotoxic
invalid2validSMILE: antibacterial;antifungal;surfactant	antibacterial;antifungal;surfactant
invalid2validSMILE: antibacterial;antitoxicinhibitor	antibacterial;cytotoxic;inhibitor
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antibacterial;antifactant	antibacterial;surfactant
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: cytotoxic;surfactant	cytotoxic;surfactant
invalid2validSMILE: antibacterial;	antibacterial
invalid2validSMILE: antibacterial;	antibacterial
invalid2validSMILE: antibacterial;cytotoxic	antibacterial;cytotoxic
invalid2validSMILE: antianthelmintic	anthelmintic
invalid2validSMILE: antitoxic	phytotoxic
invalid2validSMILE: antibacterialal;cytotoxic	antifungal;cytotoxic
invalid2validSMILE: antibacterialal;surfactant	antifungal;surfactant
invalid2validSMILE: antibacterial;antitoxicinmmunosuppressive	antibacterial;cytotoxic;immunosuppressive
invalid2validSMILE: antibacterial;antifungal;cytovirant;cytotoxicinhibitor	antibacterial;antifungal;antioxidant;cytotoxic;inhibitor
invalid2validSMILE: antibacterialumor;inhibitor	antitumor;inhibitor
invalid2validSMILE: anticytotoxic;surfactant	cytotoxic;surfactant
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antibacterial;	antibacterial
invalid2validSMILE: antifungal	antifungal
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: cytotoxic	cytotoxic
invalid2validSMILE: antifung;infungal	antibacterial;antifungal
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antibacterialantifungal	antibacterial;antifungal
invalid2validSMILE: antifungal	antifungal
invalid2validSMILE: antibacterial;	antibacterial
invalid2validSMILE: antibacterial;cytotoxic	antibacterial;cytotoxic
invalid2validSMILE: antibacterial;	antibacterial
invalid2validSMILE: antibacterial;	antibacterial
invalid2validSMILE: antibacterial;cytotoxic;inbicidal;	antibacterial;cytotoxic;herbicidal
invalid2validSMILE: siderophore	siderophore
invalid2validSMILE: antifungal;cytotoxic	antifungal;cytotoxic
invalid2validSMILE: bacterial;antibacterial;	antibacterial;antibacterial
invalid2validSMILE: antibacterialantisector	antibacterial;inhibitor
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: cytotoxic	cytotoxic
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: cytotoxic	cytotoxic
invalid2validSMILE: anticytotoxic	cytotoxic
invalid2validSMILE: anti	inhibitor
invalid2validSMILE: antibacterialal;antiviral	antifungal;antifungal
invalid2validSMILE: antibacterial;antiproal;	antibacterial;antifungal
invalid2validSMILE: antirophore	siderophore
invalid2validSMILE: antibacterialal;antimmunosuppressive	antifungal;immunosuppressive
invalid2validSMILE: bacterialarial;	antimalarial
invalid2validSMILE: anti	inhibitor
invalid2validSMILE: bacterial;infungal;antitoxic	antibacterial;antifungal;cytotoxic
invalid2validSMILE: antibacterial;cytotoxic	antibacterial;cytotoxic
invalid2validSMILE: antibacterialantifung	antibacterial;antibacterial
invalid2validSMILE: antiling	signalling
invalid2validSMILE: antibacterial;cytotoxic	antibacterial;cytotoxic
invalid2validSMILE: antibacterial;cytotoxic	antibacterial;cytotoxic
invalid2validSMILE: antibacterial;antifungal	antibacterial;antiviral
invalid2validSMILE: anti	inhibitor
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: siderophore	siderophore
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antifungal;cytofungtozoalcytotoxic	antifungal;antiprotozoal;cytotoxic
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: anti	inhibitor
invalid2validSMILE: anticytotoxic	cytotoxic
invalid2validSMILE: antibacterialcytobacterial	antibacterial;antibacterial
invalid2validSMILE: cytotoxiccytotoxic	cytotoxic;cytotoxic
invalid2validSMILE: bacterial;cytofungal;cytotoxic	antibacterial;antifungal;cytotoxic
invalid2validSMILE: antibacterial;cytotoxicinrophore;virulence factor	antibacterial;cytotoxic;siderophore;virulence factor
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: CCtoxic	cytotoxic
invalid2validSMILE: anti	fluorescent
invalid2validSMILE: antibacterial;antifungal;antitoxic	antibacterial;antifungal;cytotoxic
invalid2validSMILE: 	inhibitor
invalid2validSMILE: itrificative	denitrificative
invalid2validSMILE: cytotoxicsigntotoxicsignalling	cytotoxic;phytotoxic;signalling
invalid2validSMILE: antibacterialtozoalintoxicinhibitor	antiprotozoal;cytotoxic;inhibitor
invalid2validSMILE: antibacterial;antifungalantivirtozoal;	antibacterial;antifungal;antiprotozoal
invalid2validSMILE: antibacterial;cytotoxic	antibacterial;cytotoxic
invalid2validSMILE: 	inhibitor
invalid2validSMILE: cytotoxic;intoxic	cytotoxic;cytotoxic
invalid2validSMILE: anti	inhibitor
invalid2validSMILE: inhibitor	inhibitor
invalid2validSMILE: antibacterial;antifungal;antibacterial;antifungal	antibacterial;antifungal;antibacterial;antifungal
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: anticytotoxic	cytotoxic
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antibacterial;	antibacterial
invalid2validSMILE: antifungalcytotoxic	antifungal;cytotoxic
invalid2validSMILE: antibacterial;cytoviral;cytotoxicinhibitor	antibacterial;antiviral;cytotoxic;inhibitor
invalid2validSMILE: antibacterial;infungal;antivirarial;cytotoxic;ionophore	antibacterial;antifungal;antimalarial;cytotoxic;ionophore
invalid2validSMILE: antibacterial;cytotoxic	antibacterial;cytotoxic
invalid2validSMILE: anticytotoxic;inhibitor	cytotoxic;inhibitor
invalid2validSMILE: antifungal	antifungal
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antiheogen;surfactant	morphogen;surfactant
invalid2validSMILE: antianthelmintic;antbacterialtozoal;inviral	anthelmintic;antiprotozoal;antiviral
invalid2validSMILE: antifungal;	antifungal
invalid2validSMILE: antianthelminticantifungantifungalantivirtozoal	anthelmintic;antibacterial;antifungal;antiprotozoal
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antibacterialal;	antifungal
invalid2validSMILE: antibacterialcytotoxic;	antibacterial;cytotoxic
invalid2validSMILE: antibacterial;	antibacterial
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: siderophore	siderophore
invalid2validSMILE: antiicidal	herbicidal
invalid2validSMILE: cytotoxic	cytotoxic
invalid2validSMILE: antifungal;	antifungal
